A,Year,Month,Day,'TEMPERATURE_x, AIR AVERAGE (deg f),'TEMPERATURE_y, AIR MINIMUM (deg f),'TEMPERATURE, AIR MAXIMUM (deg f),rain
0,2006,1,1,0,55,0,49,0,61,0.94
1,2006,1,2,0,54,0,50,0,58,0.94
2,2006,1,3,0,52,0,44,0,62,0.94
3,2006,1,4,0,65,0,46,0,79,0.94
4,2006,1,5,0,76,0,65,0,89,0.94
5,2006,1,6,0,74,0,59,0,91,0.94
6,2006,1,7,0,60,0,52,0,70,0.94
7,2006,1,8,0,57,0,48,0,70,0.94
8,2006,1,9,0,64,0,51,0,76,0.94
9,2006,1,10,0,62,0,52,0,75,0.94
10,2006,1,11,0,57,0,50,0,71,0.94
11,2006,1,12,0,57,0,47,0,70,0.94
12,2006,1,13,0,57,0,48,0,74,0.94
13,2006,1,14,0,53,0,47,0,61,0.94
14,2006,1,15,0,50,0,42,0,60,0.94
15,2006,1,16,0,52,0,41,0,65,0.94
16,2006,1,17,0,57,0,48,0,71,0.94
17,2006,1,18,0,54,0,45,0,65,0.94
18,2006,1,19,0,53,0,46,0,63,0.94
19,2006,1,20,0,55,0,45,0,69,0.94
20,2006,1,21,0,55,0,44,0,68,0.94
21,2006,1,22,0,59,0,48,0,72,0.94
22,2006,1,23,0,64,0,55,0,73,0.94
23,2006,1,24,0,61,0,46,0,76,0.94
24,2006,1,25,0,52,0,44,0,63,0.94
25,2006,1,26,0,52,0,44,0,64,0.94
26,2006,1,27,0,52,0,46,0,62,0.94
27,2006,1,28,0,52,0,44,0,67,0.94
28,2006,1,29,0,53,0,44,0,66,0.94
29,2006,1,30,0,55,0,46,0,67,0.94
30,2006,1,31,0,56,0,49,0,66,0.94
31,2006,2,1,0,55,0,48,0,68,0.36
32,2006,2,2,0,56,0,47,0,68,0.36
33,2006,2,3,0,59,0,49,0,83,0.36
34,2006,2,4,0,55,0,46,0,73,0.36
35,2006,2,5,0,64,0,50,0,84,0.36
36,2006,2,6,0,69,0,59,0,87,0.36
37,2006,2,7,0,69,0,59,0,85,0.36
38,2006,2,8,0,74,0,63,0,91,0.36
39,2006,2,9,0,66,0,51,0,79,0.36
40,2006,2,10,0,57,0,45,0,74,0.36
41,2006,2,11,0,61,0,42,0,83,0.36
42,2006,2,12,0,74,0,62,0,88,0.36
43,2006,2,13,0,71,0,59,0,84,0.36
44,2006,2,14,0,58,0,51,0,72,0.36
45,2006,2,15,0,52,0,44,0,60,0.36
46,2006,2,16,0,51,0,41,0,65,0.36
47,2006,2,17,0,50,0,42,0,63,0.36
48,2006,2,18,0,48,0,41,0,61,0.36
49,2006,2,19,0,47,0,38,0,56,0.36
50,2006,2,20,0,46,0,37,0,59,0.36
51,2006,2,21,0,47,0,39,0,60,0.36
52,2006,2,22,0,54,0,41,0,68,0.36
53,2006,2,23,0,57,0,46,0,74,0.36
54,2006,2,24,0,54,0,39,0,69,0.36
55,2006,2,25,0,58,0,41,0,75,0.36
56,2006,2,26,0,63,0,53,0,79,0.36
57,2006,2,27,0,59,0,48,0,72,0.36
58,2006,2,28,0,55,0,48,0,63,0.36
59,2006,5,1,0,56,0,54,0,59,0.03
60,2006,5,2,0,57,0,55,0,61,0.03
61,2006,5,3,0,57,0,54,0,61,0.03
62,2006,5,4,0,56,0,53,0,60,0.03
63,2006,5,5,0,54,0,49,0,64,0.03
64,2006,5,6,0,57,0,54,0,61,0.03
65,2006,5,7,0,56,0,53,0,59,0.03
66,2006,5,8,0,56,0,51,0,61,0.03
67,2006,5,9,0,56,0,53,0,60,0.03
68,2006,5,10,0,56,0,52,0,61,0.03
69,2006,5,11,0,58,0,57,0,61,0.03
70,2006,5,12,0,58,0,56,0,61,0.03
71,2006,5,13,0,56,0,53,0,60,0.03
72,2006,5,14,0,55,0,51,0,59,0.03
73,2006,5,15,0,58,0,56,0,61,0.03
74,2006,5,16,0,60,0,57,0,73,0.03
75,2006,5,17,0,59,0,57,0,63,0.03
81,2006,5,23,0,69,0,62,0,77,0.03
84,2006,5,26,0,60,0,57,0,66,0.03
85,2006,5,27,0,61,0,51,0,71,0.03
86,2006,5,28,0,63,0,50,0,76,0.03
87,2006,5,29,0,65,0,51,0,79,0.03
88,2006,5,30,0,69,0,54,0,85,0.03
89,2006,5,31,0,71,0,57,0,86,0.03
90,2006,7,1,0,79,0,64,0,100,0.02
91,2006,7,2,0,77,0,64,0,92,0.02
92,2006,7,3,0,77,0,66,0,92,0.02
93,2006,7,4,0,74,0,62,0,90,0.02
94,2006,7,5,0,72,0,62,0,87,0.02
95,2006,7,6,0,72,0,61,0,86,0.02
96,2006,7,7,0,74,0,60,0,90,0.02
97,2006,7,8,0,77,0,65,0,94,0.02
98,2006,7,9,0,76,0,62,0,94,0.02
99,2006,7,10,0,72,0,62,0,88,0.02
100,2006,7,11,0,75,0,60,0,91,0.02
101,2006,7,12,0,80,0,62,0,97,0.02
102,2006,7,13,0,79,0,66,0,95,0.02
103,2006,7,14,0,82,0,64,0,103,0.02
104,2006,7,15,0,82,0,66,0,106,0.02
105,2006,7,16,0,78,0,67,0,91,0.02
106,2006,7,17,0,75,0,65,0,90,0.02
107,2006,7,18,0,75,0,66,0,87,0.02
108,2006,7,19,0,74,0,65,0,87,0.02
109,2006,7,20,0,76,0,66,0,88,0.02
110,2006,7,21,0,82,0,66,0,102,0.02
111,2006,7,22,0,86,0,69,0,109,0.02
112,2006,7,23,0,81,0,70,0,97,0.02
113,2006,7,24,0,84,0,70,0,106,0.02
114,2006,7,25,0,77,0,67,0,87,0.02
115,2006,7,26,0,78,0,66,0,98,0.02
116,2006,7,27,0,79,0,70,0,94,0.02
117,2006,7,28,0,78,0,69,0,88,0.02
118,2006,7,29,0,76,0,70,0,85,0.02
119,2006,7,30,0,73,0,67,0,83,0.02
120,2006,7,31,0,70,0,65,0,79,0.02
121,2006,8,1,0,71,0,65,0,79,0.03
122,2006,8,2,0,72,0,64,0,83,0.03
123,2006,8,3,0,69,0,64,0,74,0.03
124,2006,8,4,0,69,0,59,0,79,0.03
125,2006,8,5,0,70,0,57,0,84,0.03
126,2006,8,6,0,68,0,59,0,81,0.03
127,2006,8,7,0,70,0,59,0,84,0.03
128,2006,8,8,0,74,0,60,0,89,0.03
129,2006,8,9,0,78,0,64,0,98,0.03
130,2006,8,10,0,75,0,64,0,88,0.03
131,2006,8,11,0,73,0,63,0,89,0.03
132,2006,8,12,0,72,0,62,0,85,0.03
133,2006,8,13,0,70,0,61,0,83,0.03
134,2006,8,14,0,69,0,58,0,82,0.03
135,2006,8,15,0,67,0,59,0,81,0.03
136,2006,8,16,0,68,0,57,0,81,0.03
137,2006,8,17,0,69,0,59,0,85,0.03
138,2006,8,18,0,71,0,58,0,86,0.03
139,2006,8,19,0,69,0,59,0,82,0.03
140,2006,8,20,0,69,0,57,0,85,0.03
141,2006,8,21,0,71,0,58,0,88,0.03
142,2006,8,22,0,76,0,62,0,96,0.03
143,2006,8,23,0,78,0,65,0,97,0.03
144,2006,8,24,0,74,0,62,0,92,0.03
145,2006,8,25,0,70,0,59,0,84,0.03
146,2006,8,26,0,72,0,54,0,87,0.03
147,2006,8,27,0,78,0,62,0,97,0.03
148,2006,8,28,0,76,0,63,0,92,0.03
149,2006,8,29,0,71,0,58,0,91,0.03
150,2006,8,30,0,71,0,58,0,90,0.03
151,2006,8,31,0,73,0,60,0,95,0.03
152,2006,11,1,0,61,0,53,0,75,0.07
153,2006,11,2,0,64,0,54,0,80,0.07
154,2006,11,3,0,61,0,53,0,74,0.07
155,2006,11,4,0,63,0,53,0,79,0.07
156,2006,11,5,0,75,0,65,0,88,0.07
157,2006,11,6,0,81,0,70,0,95,0.07
158,2006,11,7,0,81,0,69,0,96,0.07
159,2006,11,8,0,68,0,55,0,86,0.07
160,2006,11,9,0,61,0,50,0,75,0.07
161,2006,11,10,0,65,0,53,0,81,0.07
162,2006,11,11,0,61,0,54,0,72,0.07
163,2006,11,12,0,62,0,51,0,80,0.07
164,2006,11,13,0,64,0,55,0,78,0.07
165,2006,11,14,0,59,0,53,0,68,0.07
166,2006,11,15,0,71,0,56,0,88,0.07
167,2006,11,16,0,68,0,59,0,83,0.07
168,2006,11,17,0,67,0,59,0,81,0.07
169,2006,11,18,0,71,0,59,0,85,0.07
170,2006,11,19,0,77,0,65,0,91,0.07
171,2006,11,20,0,76,0,63,0,90,0.07
172,2006,11,21,0,61,0,50,0,82,0.07
173,2006,11,22,0,59,0,47,0,76,0.07
174,2006,11,23,0,59,0,51,0,74,0.07
175,2006,11,24,0,57,0,50,0,70,0.07
176,2006,11,25,0,57,0,50,0,67,0.07
177,2006,11,26,0,55,0,47,0,64,0.07
178,2006,11,27,0,54,0,51,0,63,0.07
179,2006,11,28,0,53,0,48,0,61,0.07
180,2006,11,29,0,55,0,46,0,64,0.07
181,2006,11,30,0,55,0,48,0,65,0.07
182,2006,12,1,0,61,0,50,0,76,0.73
183,2006,12,2,0,67,0,55,0,79,0.73
184,2006,12,3,0,65,0,60,0,76,0.73
185,2006,12,4,0,66,0,58,0,79,0.73
186,2006,12,5,0,61,0,52,0,76,0.73
187,2006,12,6,0,62,0,51,0,77,0.73
188,2006,12,7,0,67,0,54,0,81,0.73
189,2006,12,8,0,65,0,48,0,77,0.73
190,2006,12,9,0,56,0,47,0,69,0.73
191,2006,12,10,0,54,0,50,0,61,0.73
192,2006,12,11,0,56,0,48,0,66,0.73
193,2006,12,12,0,57,0,49,0,72,0.73
194,2006,12,13,0,61,0,51,0,74,0.73
195,2006,12,14,0,65,0,55,0,77,0.73
196,2006,12,15,0,56,0,52,0,66,0.73
197,2006,12,16,0,51,0,42,0,56,0.73
198,2006,12,17,0,47,0,41,0,58,0.73
199,2006,12,18,0,50,0,42,0,59,0.73
200,2006,12,19,0,48,0,41,0,59,0.73
201,2006,12,20,0,48,0,40,0,61,0.73
202,2006,12,21,0,50,0,41,0,64,0.73
203,2006,12,22,0,53,0,46,0,64,0.73
204,2006,12,23,0,58,0,48,0,70,0.73
205,2006,12,24,0,62,0,52,0,76,0.73
206,2006,12,25,0,66,0,57,0,81,0.73
207,2006,12,26,0,62,0,54,0,76,0.73
208,2006,12,27,0,51,0,42,0,58,0.73
209,2006,12,28,0,52,0,41,0,64,0.73
210,2006,12,29,0,54,0,47,0,66,0.73
211,2006,12,30,0,53,0,44,0,69,0.73
212,2006,12,31,0,52,0,44,0,64,0.73
213,2007,1,1,0,58,0,45,0,65,0.44
214,2007,1,2,0,63,0,55,0,75,0.44
215,2007,1,3,0,59,0,44,0,72,0.44
216,2007,1,4,0,51,0,44,0,60,0.44
217,2007,1,5,0,52,0,43,0,58,0.44
218,2007,1,6,0,56,0,46,0,69,0.44
219,2007,1,7,0,65,0,53,0,81,0.44
220,2007,1,8,0,75,0,68,0,86,0.44
221,2007,1,9,0,70,0,56,0,84,0.44
222,2007,1,10,0,57,0,47,0,69,0.44
223,2007,1,11,0,51,0,46,0,58,0.44
224,2007,1,12,0,46,0,37,0,53,0.44
225,2007,1,13,0,44,0,37,0,54,0.44
226,2007,1,14,0,44,0,34,0,56,0.44
227,2007,1,15,0,49,0,38,0,60,0.44
228,2007,1,16,0,51,0,41,0,63,0.44
229,2007,1,17,0,48,0,40,0,61,0.44
230,2007,1,18,0,55,0,41,0,67,0.44
231,2007,1,19,0,54,0,44,0,65,0.44
232,2007,1,20,0,50,0,43,0,59,0.44
233,2007,1,21,0,54,0,43,0,65,0.44
234,2007,1,22,0,59,0,51,0,69,0.44
235,2007,1,23,0,57,0,48,0,70,0.44
236,2007,1,24,0,62,0,51,0,75,0.44
237,2007,1,25,0,65,0,56,0,78,0.44
238,2007,1,26,0,57,0,51,0,69,0.44
239,2007,1,27,0,52,0,46,0,62,0.44
240,2007,1,28,0,52,0,44,0,62,0.44
241,2007,1,29,0,54,0,46,0,66,0.44
242,2007,1,30,0,51,0,46,0,56,0.44
