Year,Month,Rain
2006,1,0.94
2006,2,0.36
2006,5,0.03
2006,7,0.02
2006,8,0.03
2006,11,0.07
2006,12,0.73
2007,1,0.44
2007,2,1.53
2007,3,0.29
2007,4,0.8
2007,9,0.32
2007,10,0.22
2007,12,1.29
2008,1,4.59
2008,2,2.15
2008,3,0.06
2008,4,0.04
2008,5,0.6
2008,10,0.01
2008,11,1.63
2009,1,0.18
2009,2,3.8
2009,3,0.07
2009,4,0.08
2009,5,0.03
2009,6,0.02
2009,10,0.22
2009,11,0.13
2010,1,5.86
2010,2,3.76
2010,3,0.18
2010,4,1.29
2010,5,0.04
2010,6,0.02
2010,7,0.03
2010,8,0.01
2010,9,0.03
2010,10,3.38
2010,11,1.49
2011,1,0.74
2011,2,2.98
2011,3,2.53
2011,4,0.34
2011,5,0.52
2011,6,0.08
2011,7,0.01
2011,8,0.01
2011,9,0.2
2011,10,1.12
2011,11,2.03
2011,12,0.25
2012,1,1.05
2012,2,1.17
2012,3,2.16
2012,4,1.33
2012,5,0.19
2012,7,0.4
2012,8,0.02
2012,10,0.33
2012,11,0.44
2012,12,2.38
2013,1,1.07
2013,2,0.8
2013,3,0.91
2013,4,0.05
2013,5,0.34
2013,6,0.02
2013,7,0.02
2013,8,0.01
2013,10,0.71
2013,11,0.99
2013,12,0.44
2014,1,0.02
2014,2,0.36
2014,3,0.65
2014,4,0.26
2014,5,0.05
2014,6,0.14
2014,8,0.17
2014,9,0.02
2014,11,0.26
2014,12,4.39
2015,1,0.88
2015,2,0.99
2015,3,0.36
2015,4,0.07
2015,5,0.71
2015,6,0.02
2015,7,0.72
2015,8,0.03
2015,9,0.91
2015,10,0.64
2015,11,0.53
2015,12,1.5
2016,1,2.79
2016,2,0.27
2016,3,1.28
2016,4,0.29
2016,5,0.16
2016,6,0.03
2016,9,0.03
2016,10,0.3
2016,11,1.42
2016,12,5.35
2017,1,9.07
2017,2,3.78
2017,3,0.15
2017,4,0.01
2017,5,1.05
2017,6,0.09
2017,10,0.04
2017,11,0.13
2017,12,0.06
