,Year,Month,Day,'TEMPERATURE_x, AIR AVERAGE (deg f)','TEMPERATURE_y, AIR MINIMUM (deg f)','TEMPERATURE, AIR MAXIMUM (deg f)',Rain
0,2006,1,1,0,52,0,47,0,60,0.48
1,2006,1,2,0,51,0,48,0,54,0.48
2,2006,1,3,0,51,0,45,0,62,0.48
3,2006,1,4,0,66,0,53,0,81,0.48
4,2006,1,5,0,71,0,65,0,78,0.48
5,2006,1,6,0,74,0,66,0,90,0.48
6,2006,1,7,0,62,0,55,0,74,0.48
7,2006,1,8,0,61,0,52,0,73,0.48
8,2006,1,9,0,62,0,59,0,67,0.48
9,2006,1,10,0,64,0,57,0,77,0.48
10,2006,1,11,0,60,0,53,0,72,0.48
11,2006,1,12,0,61,0,50,0,70,0.48
12,2006,1,13,0,62,0,47,0,76,0.48
13,2006,1,14,0,49,0,45,0,57,0.48
14,2006,1,15,0,48,0,42,0,61,0.48
15,2006,1,16,0,53,0,41,0,61,0.48
16,2006,1,17,0,59,0,51,0,72,0.48
17,2006,1,18,0,52,0,46,0,64,0.48
18,2006,1,19,0,52,0,44,0,63,0.48
19,2006,1,20,0,54,0,48,0,68,0.48
20,2006,1,21,0,57,0,50,0,66,0.48
21,2006,1,22,0,56,0,53,0,61,0.48
22,2006,1,23,0,57,0,50,0,62,0.48
23,2006,1,24,0,58,0,46,0,69,0.48
24,2006,1,25,0,51,0,46,0,62,0.48
25,2006,1,26,0,52,0,44,0,65,0.48
26,2006,1,27,0,51,0,44,0,65,0.48
27,2006,1,28,0,53,0,45,0,66,0.48
28,2006,1,29,0,54,0,44,0,68,0.48
29,2006,1,30,0,56,0,48,0,69,0.48
30,2006,1,31,0,55,0,46,0,67,0.48
31,2006,3,1,0,52,0,45,0,62,0.46
32,2006,3,2,0,51,0,43,0,61,0.46
33,2006,3,3,0,46,0,41,0,50,0.46
34,2006,3,4,0,48,0,40,0,57,0.46
35,2006,3,5,0,54,0,44,0,67,0.46
36,2006,3,6,0,52,0,46,0,65,0.46
37,2006,3,7,0,50,0,45,0,56,0.46
38,2006,3,8,0,51,0,43,0,62,0.46
39,2006,3,9,0,48,0,42,0,55,0.46
40,2006,3,10,0,43,0,39,0,49,0.46
41,2006,3,11,0,41,0,37,0,49,0.46
42,2006,3,12,0,42,0,36,0,50,0.46
43,2006,3,13,0,48,0,38,0,60,0.46
44,2006,3,14,0,52,0,45,0,62,0.46
45,2006,3,15,0,51,0,42,0,61,0.46
46,2006,3,16,0,53,0,45,0,66,0.46
47,2006,3,17,0,47,0,42,0,53,0.46
48,2006,3,18,0,46,0,40,0,55,0.46
49,2006,3,19,0,46,0,41,0,53,0.46
50,2006,3,20,0,46,0,42,0,51,0.46
51,2006,3,21,0,47,0,40,0,55,0.46
52,2006,3,22,0,55,0,42,0,69,0.46
53,2006,3,23,0,65,0,55,0,75,0.46
54,2006,3,24,0,63,0,58,0,75,0.46
55,2006,3,25,0,57,0,50,0,69,0.46
56,2006,3,26,0,54,0,48,0,65,0.46
57,2006,3,27,0,53,0,46,0,65,0.46
58,2006,3,28,0,49,0,45,0,53,0.46
59,2006,3,29,0,50,0,45,0,58,0.46
60,2006,3,30,0,51,0,45,0,61,0.46
61,2006,3,31,0,49,0,44,0,55,0.46
62,2006,4,1,0,49,0,44,0,59,1.31
63,2006,4,2,0,55,0,44,0,68,1.31
64,2006,4,3,0,59,0,52,0,67,1.31
65,2006,4,4,0,54,0,46,0,61,1.31
66,2006,4,5,0,47,0,44,0,51,1.31
67,2006,4,6,0,52,0,43,0,64,1.31
68,2006,4,7,0,51,0,45,0,63,1.31
69,2006,4,8,0,55,0,44,0,68,1.31
70,2006,4,9,0,52,0,46,0,64,1.31
71,2006,4,10,0,52,0,46,0,60,1.31
72,2006,4,11,0,55,0,48,0,68,1.31
73,2006,4,12,0,58,0,50,0,71,1.31
74,2006,4,13,0,69,0,53,0,86,1.31
75,2006,4,14,0,54,0,50,0,61,1.31
76,2006,4,15,0,52,0,50,0,62,1.31
77,2006,4,16,0,52,0,47,0,61,1.31
78,2006,4,17,0,53,0,47,0,63,1.31
79,2006,4,18,0,63,0,49,0,78,1.31
80,2006,4,19,0,66,0,51,0,78,1.31
81,2006,4,20,0,65,0,55,0,78,1.31
82,2006,4,21,0,56,0,50,0,67,1.31
83,2006,4,22,0,50,0,45,0,56,1.31
84,2006,4,23,0,52,0,43,0,62,1.31
85,2006,4,24,0,54,0,47,0,64,1.31
86,2006,4,25,0,52,0,46,0,58,1.31
87,2006,4,26,0,53,0,46,0,61,1.31
88,2006,4,27,0,53,0,48,0,61,1.31
89,2006,4,28,0,54,0,50,0,60,1.31
90,2006,4,29,0,57,0,51,0,70,1.31
91,2006,4,30,0,59,0,50,0,75,1.31
92,2006,6,1,0,74,0,61,0,87,0.05
93,2006,6,2,0,78,0,64,0,92,0.05
94,2006,6,3,0,83,0,73,0,95,0.05
95,2006,6,4,0,79,0,62,0,91,0.05
96,2006,6,5,0,66,0,58,0,79,0.05
97,2006,6,6,0,64,0,57,0,77,0.05
98,2006,6,7,0,61,0,59,0,64,0.05
99,2006,6,8,0,62,0,58,0,69,0.05
100,2006,6,9,0,62,0,57,0,75,0.05
101,2006,6,10,0,63,0,55,0,75,0.05
102,2006,6,11,0,63,0,55,0,78,0.05
103,2006,6,12,0,62,0,53,0,77,0.05
104,2006,6,13,0,66,0,52,0,81,0.05
105,2006,6,14,0,72,0,59,0,89,0.05
106,2006,6,15,0,70,0,60,0,85,0.05
107,2006,6,16,0,82,0,62,0,97,0.05
108,2006,6,17,0,77,0,63,0,91,0.05
109,2006,6,18,0,70,0,58,0,88,0.05
110,2006,6,19,0,69,0,55,0,87,0.05
111,2006,6,20,0,68,0,55,0,86,0.05
112,2006,6,21,0,68,0,55,0,87,0.05
113,2006,6,22,0,69,0,55,0,86,0.05
114,2006,6,23,0,75,0,61,0,92,0.05
115,2006,6,24,0,75,0,57,0,91,0.05
116,2006,6,25,0,84,0,75,0,97,0.05
117,2006,6,26,0,84,0,73,0,95,0.05
118,2006,6,27,0,81,0,72,0,90,0.05
119,2006,6,28,0,88,0,75,0,102,0.05
120,2006,6,29,0,84,0,72,0,98,0.05
121,2006,6,30,0,85,0,73,0,97,0.05
122,2006,7,1,0,87,0,70,0,102,0.07
123,2006,7,2,0,83,0,69,0,98,0.07
124,2006,7,3,0,80,0,67,0,95,0.07
125,2006,7,4,0,77,0,66,0,96,0.07
126,2006,7,5,0,76,0,60,0,92,0.07
127,2006,7,6,0,75,0,59,0,92,0.07
128,2006,7,7,0,80,0,68,0,97,0.07
129,2006,7,8,0,83,0,72,0,98,0.07
130,2006,7,9,0,82,0,68,0,99,0.07
131,2006,7,10,0,77,0,64,0,92,0.07
132,2006,7,11,0,79,0,63,0,95,0.07
133,2006,7,12,0,84,0,70,0,99,0.07
134,2006,7,13,0,85,0,73,0,99,0.07
135,2006,7,14,0,88,0,73,0,105,0.07
136,2006,7,15,0,89,0,72,0,105,0.07
137,2006,7,16,0,82,0,66,0,98,0.07
138,2006,7,17,0,76,0,66,0,100,0.07
139,2006,7,18,0,79,0,66,0,94,0.07
140,2006,7,19,0,76,0,64,0,94,0.07
141,2006,7,20,0,78,0,64,0,94,0.07
142,2006,7,21,0,88,0,73,0,101,0.07
143,2006,7,22,0,95,0,85,0,113,0.07
144,2006,7,23,0,87,0,73,0,102,0.07
145,2006,7,24,0,88,0,75,0,104,0.07
146,2006,7,25,0,81,0,66,0,97,0.07
147,2006,7,26,0,82,0,70,0,99,0.07
148,2006,7,27,0,81,0,68,0,96,0.07
149,2006,7,28,0,77,0,66,0,90,0.07
150,2006,7,29,0,73,0,67,0,84,0.07
151,2006,7,30,0,71,0,64,0,85,0.07
152,2006,7,31,0,67,0,62,0,73,0.07
153,2006,12,1,0,65,0,55,0,78,0.87
154,2006,12,2,0,63,0,57,0,69,0.87
155,2006,12,3,0,59,0,53,0,65,0.87
156,2006,12,4,0,66,0,56,0,78,0.87
157,2006,12,5,0,66,0,60,0,75,0.87
158,2006,12,6,0,69,0,60,0,78,0.87
159,2006,12,7,0,72,0,68,0,81,0.87
160,2006,12,8,0,64,0,49,0,77,0.87
161,2006,12,9,0,55,0,48,0,68,0.87
162,2006,12,10,0,51,0,47,0,61,0.87
163,2006,12,11,0,54,0,47,0,65,0.87
164,2006,12,12,0,60,0,53,0,69,0.87
165,2006,12,13,0,65,0,57,0,73,0.87
166,2006,12,14,0,67,0,60,0,77,0.87
167,2006,12,15,0,58,0,48,0,67,0.87
168,2006,12,16,0,47,0,40,0,52,0.87
169,2006,12,17,0,46,0,40,0,56,0.87
170,2006,12,18,0,45,0,41,0,48,0.87
171,2006,12,19,0,48,0,42,0,59,0.87
172,2006,12,20,0,48,0,42,0,59,0.87
