Year,Month,Rain
2006,1,0.48
2006,3,0.46
2006,4,1.31
2006,6,0.05
2006,7,0.07
2006,12,0.87
2007,1,0.05
2007,2,0.83
2007,3,0.15
2007,4,0.55
2007,5,0.02
2007,9,0.26
2007,10,0.44
2007,12,0.62
2008,1,3.74
2008,2,1.3
2008,3,0.01
2008,4,0.03
2008,5,0.29
2008,11,1.74
2009,1,0.22
2009,2,3.26
2009,3,0.28
2009,4,0.03
2009,5,0.09
2009,6,0.04
2009,10,0.42
2009,11,0.05
2010,1,5.46
2010,2,3.51
2010,3,0.73
2010,4,1.44
2010,5,0.06
2010,6,0.01
2010,7,0.03
2010,8,0.01
2010,9,0.07
2010,10,1.7
2010,11,1.25
2011,1,0.75
2011,2,2.25
2011,3,2.41
2011,4,0.12
2011,5,0.61
2011,6,0.1
2011,8,0.02
2011,9,0.12
2011,10,0.81
2011,11,1.55
2011,12,0.46
2012,1,1.05
2012,2,0.42
2012,3,1.83
2012,4,1.27
2012,5,0.24
2012,6,0.03
2012,7,0.08
2012,9,0.02
2012,10,1.12
2012,11,0.73
2012,12,2.32
2013,1,1.61
2013,2,0.72
2013,3,0.62
2013,4,0.06
2013,5,0.45
2013,6,0.03
2013,7,0.04
2013,8,0.01
2013,10,0.52
2013,11,0.81
2013,12,0.36
2014,1,0.04
2014,2,0.45
2014,3,1.03
2014,4,0.62
2014,7,0.04
2014,8,0.03
2014,11,0.5
2014,12,4.38
2015,1,1.17
2015,2,0.52
2015,3,0.29
2015,4,0.61
2015,5,0.73
2015,6,0.03
2015,7,1.15
2015,8,0.03
2015,9,2.01
2015,10,0.47
2015,11,0.13
2015,12,1.12
2016,1,2.78
2016,2,0.37
2016,3,1.28
2016,4,0.25
2016,5,1.02
2016,6,0.04
2016,10,0.74
2016,11,1.34
2016,12,3.41
2017,1,6.91
2017,2,3.69
2017,3,0.26
2017,4,0.09
2017,5,0.42
2017,6,0.13
2017,9,0.11
2017,10,0.01
2017,11,0.09
