4485,PST,'PRECIPITATION
19680101,0000,0.65
19680201,0000,0.27
19680301,0000,2.31
19680401,0000,1.11
19680501,0000,0.01
19680601,0000,0.00
19680701,0000,0.08
19680801,0000,0.00
19680901,0000,0.00
19681001,0000,0.00
19681101,0000,0.48
19681201,0000,1.19
19690101,0000,8.71
19690201,0000,8.95
19690301,0000,0.68
19690401,0000,0.71
19690501,0000,0.05
19690601,0000,0.00
19690701,0000,0.00
19690801,0000,0.00
19690901,0000,0.00
19691001,0000,0.00
19691101,0000,2.27
19691201,0000,0.07
19700101,0000,2.22
19700201,0000,1.76
19700301,0000,2.34
19700401,0000,0.00
19700501,0000,0.00
19700601,0000,0.00
19700701,0000,0.00
19700801,0000,0.00
19700901,0000,0.00
19701001,0000,0.00
19701101,0000,2.51
19701201,0000,3.08
19710101,0000,1.12
19710201,0000,0.43
19710301,0000,0.27
19710401,0000,0.38
19710501,0000,0.57
19710601,0000,0.03
19710701,0000,0.00
19710801,0000,0.00
19710901,0000,0.00
19711001,0000,0.00
19711101,0000,0.00
19711201,0000,5.51
19720101,0000,0.00
19720201,0000,0.03
19720301,0000,0.00
19720401,0000,0.00
19720501,0000,0.08
19720601,0000,0.27
19720701,0000,0.00
19720801,0000,0.63
19720901,0000,0.05
19721001,0000,0.35
19721101,0000,3.09
19721201,0000,1.73
19730101,0000,3.10
19730201,0000,4.18
19730301,0000,2.26
19730401,0000,0.00
19730501,0000,0.00
19730601,0000,0.00
19730701,0000,0.00
19730801,0000,0.00
19730901,0000,0.00
19731001,0000,0.02
19731101,0000,1.77
19731201,0000,0.29
19740101,0000,5.05
19740201,0000,0.04
19740301,0000,3.74
19740401,0000,0.35
19740501,0000,0.19
19740601,0000,0.00
19740701,0000,0.00
19740801,0000,0.00
19740901,0000,0.00
19741001,0000,0.29
19741101,0000,0.00
19741201,0000,4.05
19750101,0000,0.46
19750201,0000,1.44
19750301,0000,3.64
19750401,0000,1.82
19750501,0000,0.10
19750601,0000,0.00
19750701,0000,0.00
19750801,0000,0.00
19750901,0000,0.00
19751001,0000,0.51
19751101,0000,0.00
19751201,0000,0.00
19760101,0000,0.00
19760201,0000,2.45
19760301,0000,1.64
19760401,0000,0.94
19760501,0000,0.00
19760601,0000,0.59
19760701,0000,0.00
19760801,0000,0.00
19760901,0000,2.35
19761001,0000,0.00
19761101,0000,0.02
19761201,0000,0.59
19770101,0000,3.25
19770201,0000,1.67
19770301,0000,0.95
19770401,0000,0.00
19770501,0000,2.00
19770601,0000,0.00
19770701,0000,0.00
19770801,0000,2.08
19770901,0000,0.17
19771001,0000,0.00
19771101,0000,0.01
19771201,0000,2.43
19780101,0000,7.91
19780201,0000,7.35
19780301,0000,7.82
19780401,0000,1.65
19780501,0000,0.00
19780601,0000,0.00
19780701,0000,0.00
19780801,0000,0.00
19780901,0000,1.72
19781001,0000,0.08
19781101,0000,2.58
19781201,0000,1.91
