5167,PST,'PRECIPITATION
19680101,0000,0.82
19680201,0000,0.32
19680301,0000,1.87
19680401,0000,0.70
19680501,0000,0.15
19680601,0000,0.00
19680701,0000,0.18
19680801,0000,0.00
19680901,0000,0.00
19681001,0000,0.22
19681101,0000,0.52
19681201,0000,1.03
19690101,0000,7.90
19690201,0000,9.06
19690301,0000,1.31
19690401,0000,0.80
19690501,0000,0.18
19690601,0000,0.17
19690701,0000,0.10
19690801,0000,0.00
19690901,0000,0.02
19691001,0000,0.00
19691101,0000,2.63
19691201,0000,0.10
19700101,0000,2.13
19700201,0000,0.18
19700301,0000,2.56
19700401,0000,0.02
19700501,0000,0.00
19700601,0000,0.38
19700701,0000,0.00
19700801,0000,0.00
19700901,0000,0.00
19701001,0000,0.08
19701101,0000,2.73
19701201,0000,2.87
19710101,0000,0.76
19710201,0000,0.48
19710301,0000,0.26
19710401,0000,0.67
19710501,0000,0.85
19710601,0000,0.04
19710701,0000,0.00
19710801,0000,0.00
19710901,0000,0.00
19711001,0000,0.33
19711101,0000,0.16
19711201,0000,3.72
19720101,0000,0.02
19720201,0000,0.12
19720301,0000,0.03
19720401,0000,0.02
19720501,0000,0.37
19720601,0000,0.34
19720701,0000,0.00
19720801,0000,0.19
19720901,0000,0.08
19721001,0000,0.38
19721101,0000,3.82
19721201,0000,1.14
19730101,0000,3.57
19730201,0000,4.00
19730301,0000,3.57
19730401,0000,0.10
19730501,0000,0.10
19730601,0000,0.05
19730701,0000,0.00
19730801,0000,0.00
19730901,0000,0.00
19731001,0000,0.04
19731101,0000,1.55
19731201,0000,0.32
19740101,0000,3.36
19740201,0000,0.15
19740301,0000,4.08
19740401,0000,0.38
19740501,0000,0.11
19740601,0000,0.10
19740701,0000,0.02
19740801,0000,0.00
19740901,0000,0.00
19741001,0000,0.49
19741101,0000,0.29
19741201,0000,3.46
19750101,0000,2.03
19750201,0000,2.18
19750301,0000,3.67
19750401,0000,2.78
19750501,0000,0.00
19750601,0000,0.00
19750701,0000,0.00
19750801,0000,0.00
19750901,0000,0.00
19751001,0000,1.15
19751101,0000,0.58
19751201,0000,0.34
19760101,0000,0.00
19760201,0000,3.28
19760301,0000,1.66
19760401,0000,1.58
19760501,0000,0.01
19760601,0000,0.93
19760701,0000,0.00
19760801,0000,0.00
19760901,0000,1.93
19761001,0000,0.73
19761101,0000,0.21
19761201,0000,0.69
19770101,0000,2.99
19770201,0000,0.90
19770301,0000,1.10
19770401,0000,0.00
19770501,0000,1.76
19770601,0000,0.00
19770701,0000,0.00
19770801,0000,2.47
19770901,0000,0.25
19771001,0000,0.00
19771101,0000,0.00
19771201,0000,2.76
19780101,0000,7.52
19780201,0000,5.11
19780301,0000,7.00
19780401,0000,2.17
19780501,0000,0.01
19780601,0000,0.00
19780701,0000,0.00
19780801,0000,0.00
19780901,0000,2.24
19781001,0000,0.00
19781101,0000,2.53
19781201,0000,1.35
19790101,0000,5.25
19790201,0000,2.48
19790301,0000,4.00
19790401,0000,0.00
19790501,0000,0.00
19790601,0000,0.00
19790701,0000,0.00
19790801,0000,0.00
19790901,0000,0.00
19791001,0000,0.00
19791101,0000,1.05
19791201,0000,0.27
19800101,0000,7.61
19800201,0000,9.64
19800301,0000,2.68
19800401,0000,0.64
19800501,0000,0.20
19800601,0000,0.00
19800701,0000,0.00
19800801,0000,0.00
19800901,0000,0.00
19801001,0000,0.00
19801101,0000,0.00
19801201,0000,0.00
19810101,0000,0
19810201,0000,0
19810301,0000,0
19810401,0000,0
19810501,0000,0
19810601,0000,0
19810701,0000,0
19810801,0000,0
19810901,0000,0
19811001,0000,0
19811101,0000,0
19811201,0000,0
19820101,0000,0
19820201,0000,0
19820301,0000,0
19820401,0000,0
19820501,0000,0
19820601,0000,0
19820701,0000,0
19820801,0000,0
19820901,0000,0
19821001,0000,0.11
