Year,Month,Day,temperature,rain
1968,01,01,0000,0.82
1968,02,01,0000,0.32
1968,03,01,0000,1.87
1968,04,01,0000,0.70
1968,05,01,0000,0.15
1968,06,01,0000,0.00
1968,07,01,0000,0.18
1968,08,01,0000,0.00
1968,09,01,0000,0.00
1968,10,01,0000,0.22
1968,11,01,0000,0.52
1968,12,01,0000,1.03
1969,01,01,0000,7.90
1969,02,01,0000,9.06
1969,03,01,0000,1.31
1969,04,01,0000,0.80
1969,05,01,0000,0.18
1969,06,01,0000,0.17
1969,07,01,0000,0.10
1969,08,01,0000,0.00
1969,09,01,0000,0.02
1969,10,01,0000,0.00
1969,11,01,0000,2.63
1969,12,01,0000,0.10
1970,01,01,0000,2.13
1970,02,01,0000,0.18
1970,03,01,0000,2.56
1970,04,01,0000,0.02
1970,05,01,0000,0.00
1970,06,01,0000,0.38
1970,07,01,0000,0.00
1970,08,01,0000,0.00
1970,09,01,0000,0.00
1970,10,01,0000,0.08
1970,11,01,0000,2.73
1970,12,01,0000,2.87
1971,01,01,0000,0.76
1971,02,01,0000,0.48
1971,03,01,0000,0.26
1971,04,01,0000,0.67
1971,05,01,0000,0.85
1971,06,01,0000,0.04
1971,07,01,0000,0.00
1971,08,01,0000,0.00
1971,09,01,0000,0.00
1971,10,01,0000,0.33
1971,11,01,0000,0.16
1971,12,01,0000,3.72
1972,01,01,0000,0.02
1972,02,01,0000,0.12
1972,03,01,0000,0.03
1972,04,01,0000,0.02
1972,05,01,0000,0.37
1972,06,01,0000,0.34
1972,07,01,0000,0.00
1972,08,01,0000,0.19
1972,09,01,0000,0.08
1972,10,01,0000,0.38
1972,11,01,0000,3.82
1972,12,01,0000,1.14
1973,01,01,0000,3.57
1973,02,01,0000,4.00
1973,03,01,0000,3.57
1973,04,01,0000,0.10
1973,05,01,0000,0.10
1973,06,01,0000,0.05
1973,07,01,0000,0.00
1973,08,01,0000,0.00
1973,09,01,0000,0.00
1973,10,01,0000,0.04
1973,11,01,0000,1.55
1973,12,01,0000,0.32
1974,01,01,0000,3.36
1974,02,01,0000,0.15
1974,03,01,0000,4.08
1974,04,01,0000,0.38
1974,05,01,0000,0.11
1974,06,01,0000,0.10
1974,07,01,0000,0.02
1974,08,01,0000,0.00
1974,09,01,0000,0.00
1974,10,01,0000,0.49
1974,11,01,0000,0.29
1974,12,01,0000,3.46
1975,01,01,0000,2.03
1975,02,01,0000,2.18
1975,03,01,0000,3.67
1975,04,01,0000,2.78
1975,05,01,0000,0.00
1975,06,01,0000,0.00
1975,07,01,0000,0.00
1975,08,01,0000,0.00
1975,09,01,0000,0.00
1975,10,01,0000,1.15
1975,11,01,0000,0.58
1975,12,01,0000,0.34
1976,01,01,0000,0.00
1976,02,01,0000,3.28
1976,03,01,0000,1.66
1976,04,01,0000,1.58
1976,05,01,0000,0.01
1976,06,01,0000,0.93
1976,07,01,0000,0.00
1976,08,01,0000,0.00
1976,09,01,0000,1.93
1976,10,01,0000,0.73
1976,11,01,0000,0.21
1976,12,01,0000,0.69
1977,01,01,0000,2.99
1977,02,01,0000,0.90
1977,03,01,0000,1.10
1977,04,01,0000,0.00
1977,05,01,0000,1.76
1977,06,01,0000,0.00
1977,07,01,0000,0.00
1977,08,01,0000,2.47
1977,09,01,0000,0.25
1977,10,01,0000,0.00
1977,11,01,0000,0.00
1977,12,01,0000,2.76
1978,01,01,0000,7.52
1978,02,01,0000,5.11
1978,03,01,0000,7.00
1978,04,01,0000,2.17
1978,05,01,0000,0.01
1978,06,01,0000,0.00
1978,07,01,0000,0.00
1978,08,01,0000,0.00
1978,09,01,0000,2.24
1978,10,01,0000,0.00
1978,11,01,0000,2.53
1978,12,01,0000,1.35
1979,01,01,0000,5.25
1979,02,01,0000,2.48
1979,03,01,0000,4.00
1979,04,01,0000,0.00
